mode,probe,acc_mean,acc_std,auroc_mean,auroc_std
ai_vs_human,tfidf_logreg,0.8841666666666667,0.014766704288891128,0.9570555555555555,0.013394722680183106
authorship,tfidf_logreg,0.9577132813390549,0.006371676769206027,0.9975659322784963,0.0005282879476721262
register,tfidf_logreg,1.0,0.0,1.0,0.0
typo,tfidf_logreg,0.9191666666666667,0.01594260539142415,0.9766944444444444,0.005773769977500576
