fold,acc,auroc,mode,N,layer
2,0.9375,0.9907525510204082,register,64,4
3,0.9910714285714286,1.0,register,64,4
4,0.9821428571428571,0.9990433673469388,register,64,4
0,0.9553571428571429,0.9964923469387754,register,64,6
1,0.9553571428571429,0.9891581632653061,register,64,6
2,0.9375,0.9907525510204082,register,64,6
3,0.9196428571428571,0.9933035714285715,register,64,6
4,1.0,1.0,register,64,6
0,0.9732142857142857,0.9732142857142857,register,64,8
1,0.9642857142857143,0.995216836734694,register,64,8
2,0.9375,0.9904336734693878,register,64,8
3,0.9464285714285714,0.9955357142857143,register,64,8
4,0.9910714285714286,0.9993622448979592,register,64,8
0,0.9553571428571429,0.9744897959183673,register,64,10
1,0.9285714285714286,0.9850127551020409,register,64,10
2,0.9732142857142857,0.9936224489795918,register,64,10
3,0.9642857142857143,0.9926658163265306,register,64,10
4,0.9732142857142857,0.9993622448979592,register,64,10
0,0.9910714285714286,1.0,register,64,12
1,1.0,1.0,register,64,12
2,0.9821428571428571,0.9980867346938775,register,64,12
3,0.9553571428571429,0.9952168367346939,register,64,12
4,0.9821428571428571,0.9993622448979591,register,64,12
0,0.9464285714285714,0.9901147959183673,register,64,14
1,0.9821428571428571,0.9990433673469388,register,64,14
2,0.9553571428571429,0.9929846938775511,register,64,14
3,0.9553571428571429,0.9827806122448979,register,64,14
4,0.9910714285714286,0.9990433673469388,register,64,14
0,0.9553571428571429,0.9961734693877551,register,64,16
1,0.9821428571428571,0.9987244897959183,register,64,16
2,0.9910714285714286,0.9936224489795918,register,64,16
3,0.9910714285714286,0.9977678571428571,register,64,16
4,0.9910714285714286,1.0,register,64,16
0,1.0,1.0,register,64,18
1,1.0,1.0,register,64,18
2,1.0,1.0,register,64,18
3,1.0,1.0,register,64,18
4,0.9910714285714286,1.0,register,64,18
0,0.9910714285714286,1.0,register,64,20
1,0.9821428571428571,0.9984056122448979,register,64,20
2,0.9910714285714286,1.0,register,64,20
3,0.9910714285714286,1.0,register,64,20
4,0.9910714285714286,0.9993622448979592,register,64,20
0,1.0,1.0,register,64,22
1,0.9642857142857143,0.9990433673469388,register,64,22
2,0.9821428571428571,0.9993622448979592,register,64,22
