fold,acc,auroc,mode,N,layer
3,0.5208333333333334,0.5341319444444443,typo,128,0
4,0.5458333333333333,0.5738888888888889,typo,128,0
0,0.55,0.6029861111111111,typo,128,2
1,0.5625,0.5952083333333333,typo,128,2
2,0.6541666666666667,0.6672916666666667,typo,128,2
3,0.5916666666666667,0.6197222222222222,typo,128,2
4,0.6125,0.6407638888888889,typo,128,2
0,0.5541666666666667,0.5881944444444445,typo,128,4
1,0.5958333333333333,0.5940277777777777,typo,128,4
2,0.5583333333333333,0.569375,typo,128,4
3,0.5791666666666667,0.6183333333333334,typo,128,4
4,0.6,0.6245833333333333,typo,128,4
0,0.5791666666666667,0.5987500000000001,typo,128,6
1,0.5041666666666667,0.5425,typo,128,6
2,0.5125,0.5243749999999999,typo,128,6
3,0.5458333333333333,0.5984722222222222,typo,128,6
4,0.5791666666666667,0.5836111111111111,typo,128,6
0,0.5791666666666667,0.5618055555555556,typo,128,8
1,0.5958333333333333,0.5750694444444444,typo,128,8
2,0.5208333333333334,0.5217361111111111,typo,128,8
3,0.5291666666666667,0.5755555555555556,typo,128,8
4,0.5166666666666667,0.5303472222222223,typo,128,8
0,0.5208333333333334,0.4893055555555556,typo,128,10
1,0.5375,0.4951388888888889,typo,128,10
2,0.5708333333333333,0.5654166666666667,typo,128,10
3,0.5166666666666667,0.5531944444444444,typo,128,10
4,0.45,0.43944444444444447,typo,128,10
0,0.4625,0.45972222222222225,typo,128,12
1,0.5166666666666667,0.5402777777777777,typo,128,12
2,0.5541666666666667,0.5530555555555555,typo,128,12
3,0.475,0.49861111111111106,typo,128,12
4,0.5333333333333333,0.5474305555555555,typo,128,12
0,0.5083333333333333,0.5251388888888888,typo,128,14
1,0.5916666666666667,0.606875,typo,128,14
2,0.5416666666666666,0.5575694444444445,typo,128,14
3,0.475,0.4766666666666667,typo,128,14
4,0.5666666666666667,0.5707638888888888,typo,128,14
0,0.475,0.4765277777777778,typo,128,16
1,0.5541666666666667,0.5939583333333334,typo,128,16
2,0.5541666666666667,0.5754166666666667,typo,128,16
3,0.49583333333333335,0.5352083333333334,typo,128,16
4,0.5708333333333333,0.5920138888888888,typo,128,16
0,0.5166666666666667,0.538125,typo,128,18
1,0.6125,0.6793055555555556,typo,128,18
2,0.5833333333333334,0.6268750000000001,typo,128,18
3,0.6083333333333333,0.6538194444444444,typo,128,18
4,0.5833333333333334,0.6335416666666666,typo,128,18
0,0.5875,0.6261805555555556,typo,128,20
1,0.6458333333333334,0.6540972222222222,typo,128,20
2,0.5958333333333333,0.6299305555555555,typo,128,20
3,0.5708333333333333,0.6147916666666666,typo,128,20
4,0.6125,0.6109027777777777,typo,128,20
0,0.575,0.6263888888888889,typo,128,22
1,0.6041666666666666,0.6627777777777778,typo,128,22
2,0.5375,0.5758333333333334,typo,128,22
3,0.5666666666666667,0.638611111111111,typo,128,22
4,0.55,0.5895138888888888,typo,128,22
0,0.6125,0.6222222222222221,typo,128,24
1,0.6083333333333333,0.6052083333333332,typo,128,24
2,0.5583333333333333,0.5750694444444444,typo,128,24
3,0.5916666666666667,0.6775,typo,128,24
4,0.575,0.5818055555555556,typo,128,24
0,0.6541666666666667,0.675138888888889,typo,128,26
1,0.6708333333333333,0.6890277777777778,typo,128,26
2,0.6041666666666666,0.6490277777777776,typo,128,26
3,0.6708333333333333,0.7369444444444443,typo,128,26
4,0.6208333333333333,0.6604861111111111,typo,128,26
0,0.7416666666666667,0.8335416666666667,typo,128,28
1,0.7208333333333333,0.7873611111111111,typo,128,28
2,0.7083333333333334,0.8210416666666666,typo,128,28
3,0.7833333333333333,0.8400694444444444,typo,128,28
4,0.7708333333333334,0.8366666666666668,typo,128,28
