fold,acc,auroc,mode,N,layer
3,0.21951219512195122,0.5607967650960564,authorship,128,0
4,0.17774762550881953,0.528373968824406,authorship,128,0
0,0.34010840108401086,0.7158471753924459,authorship,128,2
1,0.37262872628726285,0.7076965935112269,authorship,128,2
2,0.3604336043360434,0.7166277365996683,authorship,128,2
3,0.38346883468834686,0.7334695834773785,authorship,128,2
4,0.3758480325644505,0.7163547759950805,authorship,128,2
0,0.508130081300813,0.81983779093362,authorship,128,4
1,0.45257452574525747,0.8058262096116343,authorship,128,4
2,0.46612466124661245,0.7981504466667836,authorship,128,4
3,0.46612466124661245,0.7940728460478249,authorship,128,4
4,0.47761194029850745,0.7932595007070001,authorship,128,4
0,0.6287262872628726,0.8826340926787903,authorship,128,6
1,0.5745257452574526,0.8703478599349166,authorship,128,6
2,0.5772357723577236,0.8570352228254753,authorship,128,6
3,0.6016260162601627,0.8529258633935181,authorship,128,6
4,0.5563093622795116,0.8508903318158857,authorship,128,6
0,0.573170731707317,0.8755183676710249,authorship,128,8
1,0.6070460704607046,0.8722742098151804,authorship,128,8
2,0.5392953929539296,0.8458419303855083,authorship,128,8
3,0.5718157181571816,0.8576348839016086,authorship,128,8
4,0.5685210312075983,0.8516498377668066,authorship,128,8
0,0.5907859078590786,0.8796911130817546,authorship,128,10
1,0.5745257452574526,0.8627235067328575,authorship,128,10
2,0.551490514905149,0.8484421530206188,authorship,128,10
3,0.5853658536585366,0.8723644593911847,authorship,128,10
4,0.5983717774762551,0.8664626806284044,authorship,128,10
0,0.6517615176151762,0.9107438821451882,authorship,128,12
1,0.6327913279132791,0.8931968586131637,authorship,128,12
2,0.6504065040650406,0.8947833407073321,authorship,128,12
3,0.6463414634146342,0.9101338688395074,authorship,128,12
4,0.6146540027137042,0.8930598982263496,authorship,128,12
0,0.5785907859078591,0.8756682909386656,authorship,128,14
1,0.5962059620596206,0.8697461546443552,authorship,128,14
2,0.559620596205962,0.8601306775101444,authorship,128,14
3,0.5799457994579946,0.8710055630348567,authorship,128,14
4,0.582089552238806,0.8748066465681151,authorship,128,14
0,0.6544715447154471,0.8983846078938612,authorship,128,16
1,0.6151761517615176,0.8885910919728532,authorship,128,16
2,0.5745257452574526,0.8729343113054486,authorship,128,16
3,0.6124661246612466,0.8790761927019733,authorship,128,16
4,0.6119402985074627,0.8775996218931611,authorship,128,16
0,0.7208672086720868,0.9384519425713648,authorship,128,18
1,0.7073170731707317,0.9385092943030673,authorship,128,18
2,0.7371273712737128,0.9436082745137532,authorship,128,18
3,0.7140921409214093,0.9364784390164644,authorship,128,18
4,0.7259158751696065,0.9385816664084066,authorship,128,18
0,0.6693766937669376,0.9160592410668441,authorship,128,20
1,0.6544715447154471,0.9159138927370681,authorship,128,20
2,0.6693766937669376,0.9070380659952099,authorship,128,20
3,0.6585365853658537,0.908267404029189,authorship,128,20
4,0.6729986431478969,0.9162094103437262,authorship,128,20
0,0.7831978319783198,0.9650771140802588,authorship,128,22
1,0.7818428184281843,0.9531707804313632,authorship,128,22
2,0.7601626016260162,0.9465570000326087,authorship,128,22
3,0.7777777777777778,0.9577087796239719,authorship,128,22
4,0.7449118046132972,0.9535374470563353,authorship,128,22
0,0.7628726287262872,0.947939025542787,authorship,128,24
1,0.7520325203252033,0.9376397459424195,authorship,128,24
2,0.7168021680216802,0.9384991598984013,authorship,128,24
3,0.7425474254742548,0.9414460116316599,authorship,128,24
4,0.7449118046132972,0.9465335910255893,authorship,128,24
0,0.7710027100271003,0.9502958551191497,authorship,128,26
1,0.7750677506775068,0.9533631898966938,authorship,128,26
2,0.7588075880758808,0.9522291562086755,authorship,128,26
3,0.7764227642276422,0.9537268858054817,authorship,128,26
4,0.7639077340569878,0.949250833185765,authorship,128,26
0,0.8062330623306233,0.9597658151692234,authorship,128,28
1,0.8021680216802168,0.9556642727751414,authorship,128,28
2,0.7601626016260162,0.9567371660828986,authorship,128,28
3,0.7940379403794038,0.9549302879106893,authorship,128,28
4,0.7978290366350068,0.9552789869012487,authorship,128,28
